Place,Latitude,Longitude,crime_type,crime_name
Pharsial,33.285132,75.507211,2,sexual assault
Joshimath Tehsil,30.815153,80.004842,2,sexual assault
Haripur,32.009948,76.182191,2,sexual assault
Bulandshahr,28.357722,77.81275,1,murder
Jhalari Fuleli Dharapani Road,28.916917,80.420491,1,murder
Nangal Bharda,27.237586,75.743193,2,sexual assault
BAYAL,32.833184,73.880214,3,aggravated assault
Rawat-Chak Beli Road,33.295718,72.917825,2,sexual assault
Mehria,28.985876,75.494412,1,murder
Amritpur,27.600985,79.548749,3,aggravated assault
shrikot,29.937905,78.906531,2,sexual assault
khansuli,33.302867,74.861496,1,murder
Zanskar tehsil,33.722373,76.331687,3,aggravated assault
Iglas,27.739802,77.90471,3,aggravated assault
Chirgaon,31.259269,77.837605,3,aggravated assault
Jeep Track Neelum Road,34.819712,74.289704,3,aggravated assault
Chirgaon,31.405663,78.106187,2,sexual assault
Fort Abbas Tehsil,29.0882,72.598359,3,aggravated assault
Batta,29.719567,76.33799,1,murder
Shahkot - Jhumra Road,31.565457,73.317818,1,murder
Jashuda,29.373538,79.95307,1,murder
Daurala,29.114029,77.66768,2,sexual assault
unknown,29.752473,79.366171,3,aggravated assault
Churu Tehsil,28.572755,74.90152,3,aggravated assault
Rajasar Choriya,28.595669,74.115815,1,murder
Ramsar,27.856765,73.608031,3,aggravated assault
Mula Banda Kalay,34.646652,72.453032,2,sexual assault
Rugh Boundary,32.440456,73.617481,3,aggravated assault
Sajuma,29.743634,76.293445,2,sexual assault
Kohrana,27.925543,76.1976,1,murder
Kanda,31.457773,78.181623,3,aggravated assault
Sarai Naga,30.525962,74.67348,1,murder
Burewala Tehsil,30.24382,72.565547,3,aggravated assault
Kargil tehsil,34.15595,76.569811,2,sexual assault
Shamli,29.563429,77.323489,1,murder
Hardwar,29.961213,77.913829,3,aggravated assault
unknown,30.351258,78.244851,1,murder
Garhshankar Tahsil,31.265002,76.265553,2,sexual assault
Janewa,27.426683,73.911185,2,sexual assault
Dahranwala Haroonabad Road,29.610101,73.011649,1,murder
Chogawan,31.687941,74.634814,2,sexual assault
Bharwari,27.783752,75.40944,1,murder
Napal,33.540872,76.851406,3,aggravated assault
Bail Parao,29.29942,79.168897,2,sexual assault
Bhane Ka Gaon,27.709929,72.817096,2,sexual assault
Ghaziabad,28.721292,77.409327,3,aggravated assault
Indri,29.906736,77.035865,3,aggravated assault
Amlia,28.259351,79.588675,1,murder
Munsiari tehsil,30.546282,80.250415,2,sexual assault
Nathra,27.249186,76.442713,2,sexual assault
Gohana,29.113543,76.813828,1,murder
Pindi Bhattian Tehsil,31.841895,73.430278,2,sexual assault
Dungti,33.14573,79.011802,3,aggravated assault
Ranbirpura,30.323632,76.325688,1,murder
Ganaur,29.107015,77.129263,3,aggravated assault
Dhiragawali,29.815723,73.596702,2,sexual assault
Munsiari tehsil,30.653177,80.178913,1,murder
Romana Albel Singh,30.512661,74.834573,3,aggravated assault
Lunkaransar,28.544645,73.748208,3,aggravated assault
Bisauli,28.459058,78.935106,1,murder
Balhom,34.638456,74.22472,2,sexual assault
Rorangsaringdogri,31.653806,78.416999,1,murder
Sanjasar,28.064843,75.000315,2,sexual assault
Jasrana,27.433579,78.586073,1,murder
Pindi Gheb Tehsil,33.335739,72.574407,1,murder
Kaza-Grampoo Road,32.353553,77.316797,1,murder
Pinjar,33.435578,75.805202,3,aggravated assault
Anandpur Sahib Tahsil,31.067261,76.470474,3,aggravated assault
Badugam,34.554091,75.082516,2,sexual assault
8 KND-A,28.871026,72.798552,3,aggravated assault
Dandrala Kharauda,30.472191,76.307874,3,aggravated assault
Naugaon,30.094751,78.998488,3,aggravated assault
Jhamrah,32.723641,72.593679,2,sexual assault
Mahakali Highway,29.429971,80.642094,1,murder
Pathankot,32.342596,75.61847,3,aggravated assault
Bhatwari,31.176995,78.709526,2,sexual assault
Ribiya,28.429493,74.79335,3,aggravated assault
Minimarg,34.800199,75.04337,3,aggravated assault
